Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Walking,2023-03-25 19:09,2023-03-25 19:47,00:38:36,209.98,138.94,110,93.77,1.9,2.95,3512,1.52,,,,23.06,
Walking,2023-03-25 16:37,2023-03-25 17:14,00:37:13,201.95,127.81,103,93.99,1.97,3.17,3935,1.76,,,,,
Functional Strength Training,2023-03-23 16:32,2023-03-23 17:04,00:32:07,267.37,218.53,164,135.7,,,1057,0.548,,,,,
Swimming,2023-03-22 18:16,2023-03-22 19:31,01:15:12,571.05,458.02,146,118.32,2875,1.3,68,0.015,898,0.199,,,
Running,2023-03-22 16:53,2023-03-22 17:16,00:23:23,335.92,300.21,188,179.51,3.01,7.73,3891,2.77,,,,14.47,
Functional Strength Training,2023-03-21 16:34,2023-03-21 17:01,00:26:59,223.19,182.1,163,133.72,,,752,0.464,,,,,
Swimming,2023-03-20 17:19,2023-03-20 17:59,00:40:15,404.4,325.45,156,128.51,2200,1.86,,,707,0.293,,,
Running,2023-03-19 07:26,2023-03-19 08:51,01:25:28,1521,1392,191,184.41,13.21,9.27,14863,2.9,,,29.0,538.88,
Running,2023-03-19 06:00,2023-03-19 06:06,00:06:24,84.13,53.6,152,127.35,,,603,1.57,,,,,
Walking,2023-03-17 13:47,2023-03-17 14:23,00:36:09,177.26,107.22,108,93.45,1.5,2.48,2252,1.04,,,1.0,20.18,
Running,2023-03-16 12:08,2023-03-16 12:44,00:34:37,573.66,504.3,194,183.13,5.02,8.7,5869,2.83,,,2.0,53.22,
Functional Strength Training,2023-03-14 12:17,2023-03-14 13:27,01:09:37,575.53,470.48,187,139.45,,,3829,0.917,,,,,
Running,2023-03-14 12:06,2023-03-14 12:17,00:10:34,114.1,98.1,149,124.54,0.951,5.4,1322,2.08,,,,,
Walking,2023-03-13 12:46,2023-03-13 13:19,00:33:00,181.82,112.27,101,95.63,1.56,2.84,2481,1.25,,,2.0,31.79,
Running,2023-03-12 12:27,2023-03-12 14:08,01:37:56,1461,1310,196,182.18,13.14,8.05,16415,2.79,,,,16.54,
Running,2023-03-11 18:11,2023-03-11 19:14,01:02:58,249.64,135.59,171,127.64,0.633,0.603,1013,0.268,,,2.0,,
Running,2023-03-10 13:07,2023-03-10 13:33,00:26:49,386.82,346.11,180,177.23,3.46,7.75,4464,2.77,,,,16.54,
Functional Strength Training,2023-03-09 11:50,2023-03-09 12:35,00:45:01,369.55,301.45,162,129,,,804,0.298,,,,,
Functional Strength Training,2023-03-08 17:05,2023-03-08 17:37,00:32:20,302.29,253.2,169,148.35,,,991,0.511,,,,,
Running,2023-03-07 12:03,2023-03-07 12:47,00:44:32,745.74,674.28,197,185,6.66,8.96,7392,2.77,,,8.0,98.23,
Running,2023-03-04 12:59,2023-03-04 13:36,00:33:13,507.08,450.96,181,167.62,4.45,8.03,5727,2.87,,,9.0,88.22,
Running,2023-03-02 12:06,2023-03-02 12:33,00:26:48,394.49,353.65,186,180.08,3.55,7.94,4342,2.7,,,,37.57,
Running,2023-02-27 14:35,2023-02-27 14:56,00:21:55,330.36,296.88,181,172.54,2.94,8.05,3637,2.76,,,,32.58,
Running,2023-02-26 01:30,2023-02-26 01:33,00:03:15,62.15,37.75,135,135,0.386,7.12,438,2.24,,,,,
Walking,2023-02-25 18:25,2023-02-25 18:40,00:15:16,93.92,49.54,97,92,0.743,2.92,1368,1.49,,,,,
Walking,2023-02-25 17:56,2023-02-25 18:10,00:14:05,96.62,53.94,113,99.27,0.718,3.06,1370,1.62,,,,,
Functional Strength Training,2023-02-23 15:35,2023-02-23 16:29,00:53:54,480.08,378.32,171,137.1,,,1597,0.494,,,,,
Functional Strength Training,2023-02-22 16:28,2023-02-22 16:53,00:25:14,248.89,190.04,170,144.07,,,671,0.443,,,,,
Running,2023-02-20 11:04,2023-02-20 11:37,00:30:33,479.43,422.06,189,171.56,4.21,8.27,5366,2.93,,,,23.72,
Running,2023-02-19 13:47,2023-02-19 14:21,00:34:01,535.67,484.01,189,182.05,4.77,8.4,5627,2.76,,,,46.06,
Running,2023-02-16 12:30,2023-02-16 13:04,00:34:04,534.98,483.27,193,182.46,4.8,8.44,5590,2.73,,,,32.05,
Functional Strength Training,2023-02-14 16:50,2023-02-14 17:15,00:25:13,222.73,184.26,170,138.74,,,699,0.462,,,,,
Running,2023-02-13 17:41,2023-02-13 18:16,00:35:27,572.37,502.16,192,179.87,5,8.47,5862,2.76,,,,,
